Release 8.1i - Fit P.20131013
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 3-28-2018  7:49AM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  DEM_0099.ngd
output file: DEM_0099_pad.csv
Part type:   xc2c256
Speed grade: -7
Package:     tq144

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,,VCC,VCC,,,,,,,,,,
P2,CLR,I,I/O/GTS2,INPUT,LVCMOS18,2,,FAST,,,,
P3,UD,I,I/O/GTS3,INPUT,LVCMOS18,2,,FAST,,,,
P4,GIAYPHUT,I,I/O,INPUT,LVCMOS18,2,,FAST,,,,
P5,PAUSE,I,I/O/GTS0,INPUT,LVCMOS18,2,,FAST,,,,
P6,KPR,,I/O/GTS1,,,2,,,,,,,
P7,KPR,,I/O,,,2,,,,,,,
P8,,VCCAUX,VAUX,,,,,,,,,,
P9,KPR,,I/O,,,2,,,,,,,
P10,KPR,,I/O,,,2,,,,,,,
P11,KPR,,I/O,,,2,,,,,,,
P12,KPR,,I/O,,,2,,,,,,,
P13,KPR,,I/O,,,2,,,,,,,
P14,KPR,,I/O,,,2,,,,,,,
P15,KPR,,I/O,,,2,,,,,,,
P16,KPR,,I/O,,,2,,,,,,,
P17,KPR,,I/O,,,2,,,,,,,
P18,KPR,,I/O,,,2,,,,,,,
P19,KPR,,I/O,,,1,,,,,,,
P20,KPR,,I/O,,,1,,,,,,,
P21,KPR,,I/O,,,1,,,,,,,
P22,KPR,,I/O,,,1,,,,,,,
P23,KPR,,I/O,,,1,,,,,,,
P24,KPR,,I/O,,,1,,,,,,,
P25,KPR,,I/O,,,1,,,,,,,
P26,KPR,,I/O,,,1,,,,,,,
P27,,VCCIO-1.8,VCCIO,,,1,,,,,,,
P28,KPR,,I/O,,,1,,,,,,,
P29,GND,,GND,,,,,,,,,,
P30,KPR,,I/O/GCK0,,,1,,,,,,,
P31,KPR,,I/O,,,1,,,,,,,
P32,KPR,,I/O/GCK1,,,1,,,,,,,
P33,SSEG_7<0>,O,I/O,OUTPUT,LVCMOS18,1,,FAST,,,,
P34,SSEG_7<1>,O,I/O,OUTPUT,LVCMOS18,1,,FAST,,,,
